check_id,description,recomputed,published,result
V-143-7,slot 7 Arraez supply/g,1.397,1.397,PASS
V-141-8,slot 8 incumbent OBP,0.3068,0.3068,PASS
V-142-8,slot 8 incumbent on-base/g,1.1696,1.1696,PASS
V-143-8,slot 8 Arraez supply/g,1.3557,1.3557,PASS
V-141-9,slot 9 incumbent OBP,0.2651,0.2651,PASS
V-142-9,slot 9 incumbent on-base/g,0.9821,0.9821,PASS
V-143-9,slot 9 Arraez supply/g,1.3176,1.3177,PASS
V-144,Supply upper bound peaks at a top-third slot,True,True,PASS
V-150,Every indexed receipt exists on disk,0,0,PASS
V-151,No zero-byte receipts,0,0,PASS
V-152,Seven figures present,7,7,PASS
V-153,Build DQ scorecard has zero FAIL,0,0,PASS
V-154,Freshness manifest declares manual carry-ins,True,True,PASS
